attack,score,label
vpi,12.7889,0
vpi,15.1494,0
vpi,14.6257,0
vpi,22.49,0
vpi,15.2544,0
vpi,13.9859,0
vpi,10.8769,0
vpi,16.1176,0
vpi,11.9898,0
vpi,17.2872,0
vpi,23.3637,0
vpi,18.4153,0
vpi,14.621,0
vpi,16.7831,0
vpi,22.5327,0
vpi,14.1341,0
vpi,15.1865,0
vpi,26.3113,0
vpi,14.1679,0
vpi,12.7075,0
vpi,15.2481,0
vpi,13.8079,0
vpi,18.9967,0
vpi,11.9082,0
vpi,25.1523,0
vpi,20.4717,0
vpi,15.9004,0
vpi,20.5048,0
vpi,14.9355,0
vpi,19.4523,0
vpi,21.4549,0
vpi,23.3791,0
vpi,15.1128,0
vpi,12.1105,0
vpi,12.8663,0
vpi,11.0642,0
vpi,14.7335,0
vpi,23.0646,0
vpi,18.5211,0
vpi,16.0657,0
vpi,12.2637,0
vpi,12.654,0
vpi,22.9661,0
vpi,18.5658,0
vpi,21.3562,0
vpi,12.0095,0
vpi,19.184,0
vpi,15.1457,0
vpi,15.2341,0
vpi,14.06,0
vpi,14.2016,0
vpi,23.7778,0
vpi,13.1029,0
vpi,13.8985,0
vpi,11.8322,0
vpi,23.0839,0
vpi,18.0807,0
vpi,13.5911,0
vpi,12.1546,0
vpi,18.2255,0
vpi,16.0341,0
vpi,11.5418,0
vpi,26.3825,0
vpi,15.5887,0
vpi,15.4785,0
vpi,12.3758,0
vpi,15.6165,0
vpi,12.7812,0
vpi,14.99,0
vpi,13.7765,0
vpi,12.5706,0
vpi,13.5848,0
vpi,17.8653,0
vpi,23.6442,0
vpi,13.968,0
vpi,12.4363,0
vpi,14.4214,0
vpi,23.1551,0
vpi,21.0057,0
vpi,14.9166,0
vpi,16.1524,0
vpi,13.6779,0
vpi,11.9323,0
vpi,12.3988,0
vpi,12.6354,0
vpi,10.6465,0
vpi,16.3874,0
vpi,12.9808,0
vpi,11.9265,0
vpi,14.5706,0
vpi,22.7283,0
vpi,15.3491,0
vpi,14.158,0
vpi,11.0149,0
vpi,17.1123,0
vpi,13.5998,0
vpi,11.9602,0
vpi,16.5119,0
vpi,19.1182,0
vpi,16.7747,0
vpi,18.2421,0
vpi,15.9041,0
vpi,18.5815,0
vpi,20.5275,0
vpi,18.9914,0
vpi,16.9006,0
vpi,16.2055,0
vpi,15.0098,0
vpi,15.1983,0
vpi,22.3778,0
vpi,14.8671,0
vpi,17.3714,0
vpi,16.4764,0
vpi,12.8545,0
vpi,15.5247,0
vpi,21.2732,0
vpi,12.1585,0
vpi,15.9796,0
vpi,15.9192,0
vpi,14.104,0
vpi,23.9783,0
vpi,15.4314,0
vpi,14.1013,0
vpi,26.4761,0
vpi,12.5923,0
vpi,27.6263,0
vpi,13.3423,0
vpi,12.5613,0
vpi,11.4493,0
vpi,18.4971,0
vpi,14.8042,0
vpi,12.9836,0
vpi,16.2156,0
vpi,15.5492,0
vpi,13.4947,0
vpi,13.9588,0
vpi,17.1369,0
vpi,16.7348,0
vpi,15.6897,0
vpi,13.7442,0
vpi,14.3365,0
vpi,19.3595,0
vpi,12.6085,0
vpi,14.1413,0
vpi,17.6503,0
vpi,14.2049,0
vpi,15.2786,0
vpi,12.9514,0
vpi,13.7529,0
vpi,24.5022,0
vpi,11.7913,0
vpi,18.2388,0
vpi,25.1289,0
vpi,14.4149,0
vpi,15.3808,0
vpi,15.4664,0
vpi,18.6054,0
vpi,13.4795,0
vpi,16.4289,0
vpi,18.6322,0
vpi,13.4643,0
vpi,20.7535,0
vpi,22.3656,0
vpi,19.2393,0
vpi,18.4252,0
vpi,12.5154,0
vpi,12.1895,0
vpi,12.0715,0
vpi,11.3764,0
vpi,15.1806,0
vpi,16.2073,0
vpi,15.2406,0
vpi,13.3266,0
vpi,11.8654,0
vpi,13.8365,0
vpi,19.1791,0
vpi,18.7839,0
vpi,11.3942,0
vpi,16.9673,0
vpi,12.6211,0
vpi,15.8608,0
vpi,15.0558,0
vpi,11.6009,0
vpi,13.9406,0
vpi,13.5339,0
vpi,16.4149,0
vpi,16.9571,0
vpi,17.3143,0
vpi,15.7677,0
vpi,12.619,0
vpi,13.9938,0
vpi,13.877,0
vpi,20.2692,0
vpi,11.542,0
vpi,17.1395,0
vpi,13.6628,0
vpi,21.081,0
vpi,14.566,0
vpi,17.2139,0
vpi,24.912,0
vpi,20.7786,0
vpi,16.6232,0
vpi,19.3187,0
vpi,23.3818,0
vpi,16.4555,0
vpi,17.0899,0
vpi,14.502,0
vpi,21.0174,0
vpi,20.231,0
vpi,14.3809,0
vpi,13.9841,0
vpi,15.9864,0
vpi,17.5521,0
vpi,17.2185,0
vpi,15.2898,0
vpi,23.3468,0
vpi,13.9316,0
vpi,22.7273,0
vpi,14.5716,0
vpi,15.697,0
vpi,23.1767,0
vpi,15.6454,0
vpi,12.3536,0
vpi,11.7578,0
vpi,12.2518,0
vpi,14.6106,0
vpi,13.5502,0
vpi,14.9517,0
vpi,12.9621,0
vpi,14.898,0
vpi,15.0066,0
vpi,18.0801,0
vpi,17.0228,0
vpi,17.1337,0
vpi,17.8484,0
vpi,13.5527,0
vpi,13.0205,0
vpi,17.5804,0
vpi,14.6168,0
vpi,12.4508,0
vpi,17.2449,0
vpi,15.227,0
vpi,15.7826,0
vpi,13.685,0
vpi,16.4857,0
vpi,16.5286,0
vpi,16.463,0
vpi,15.7305,0
vpi,17.9699,0
vpi,14.1389,0
vpi,12.0277,0
vpi,18.9843,0
vpi,25.5442,0
vpi,15.3509,0
vpi,23.448,0
vpi,13.395,0
vpi,18.2275,0
vpi,16.0376,0
vpi,12.0051,0
vpi,15.461,0
vpi,15.3133,0
vpi,17.17,0
vpi,20.4079,0
vpi,17.7248,0
vpi,16.4757,0
vpi,14.1031,0
vpi,17.9912,0
vpi,25.0083,0
vpi,14.3686,0
vpi,11.4129,0
vpi,22.4197,0
vpi,16.1637,0
vpi,14.3932,0
vpi,15.4229,0
vpi,17.2878,0
vpi,13.2611,0
vpi,12.3685,0
vpi,13.9782,0
vpi,13.3005,0
vpi,14.7354,0
vpi,14.801,0
vpi,15.4465,0
vpi,21.9457,0
vpi,11.4861,0
vpi,15.6711,0
vpi,17.5689,0
vpi,12.3574,0
vpi,20.4529,0
vpi,17.0637,0
vpi,17.7937,0
vpi,14.1284,0
vpi,14.6733,0
vpi,18.9012,0
vpi,12.1346,0
vpi,13.5239,0
vpi,15.1826,0
vpi,17.5931,0
vpi,15.4208,0
vpi,12.6532,0
vpi,15.4728,0
vpi,13.1544,0
vpi,27.9736,0
vpi,19.7676,0
vpi,21.6599,0
vpi,18.9402,0
vpi,22.2723,0
vpi,18.8565,0
vpi,16.0679,0
vpi,15.5842,0
vpi,12.6459,0
vpi,11.9233,0
vpi,18.6317,0
vpi,13.7354,0
vpi,15.0606,0
vpi,23.921,0
vpi,16.0407,0
vpi,23.188,0
vpi,14.1806,0
vpi,16.7125,0
vpi,18.3175,0
vpi,22.6215,0
vpi,13.2629,0
vpi,17.5552,0
vpi,13.0116,0
vpi,14.4044,0
vpi,24.6751,0
vpi,13.3744,0
vpi,15.4704,0
vpi,17.9017,0
vpi,15.9457,0
vpi,18.3346,0
vpi,13.5933,0
vpi,12.8221,0
vpi,18.1188,0
vpi,16.5594,0
vpi,15.0944,0
vpi,16.8982,0
vpi,11.5854,0
vpi,13.3283,0
vpi,14.7717,0
vpi,14.0891,0
vpi,12.9295,0
vpi,17.5343,0
vpi,28.0203,1
vpi,26.144,1
vpi,29.9157,1
vpi,30.5657,1
vpi,29.1354,1
vpi,27.9516,1
vpi,32.6422,1
vpi,55.7169,1
vpi,25.3519,1
vpi,30.3305,1
vpi,30.8943,1
vpi,33.2111,1
vpi,28.6606,1
vpi,32.7004,1
vpi,33.324,1
vpi,26.5122,1
vpi,28.3597,1
vpi,29.6329,1
vpi,25.8919,1
vpi,32.3433,1
vpi,31.7681,1
vpi,34.0778,1
vpi,32.3742,1
vpi,32.3715,1
vpi,28.3613,1
vpi,36.1553,1
vpi,26.7531,1
vpi,29.8262,1
vpi,31.4743,1
vpi,31.8333,1
vpi,36.1292,1
vpi,28.9518,1
vpi,28.2555,1
vpi,33.6854,1
vpi,26.2539,1
vpi,30.4436,1
vpi,34.4619,1
vpi,27.8226,1
vpi,33.2665,1
vpi,29.8072,1
vpi,30.6202,1
vpi,25.9821,1
vpi,31.1528,1
vpi,33.1977,1
vpi,31.8028,1
vpi,29.4238,1
vpi,31.3106,1
vpi,32.8297,1
vpi,33.4842,1
vpi,30.0037,1
vpi,30.4093,1
vpi,27.2752,1
vpi,27.5579,1
vpi,29.9048,1
vpi,31.4365,1
vpi,29.6091,1
vpi,27.7179,1
vpi,32.1092,1
vpi,30.2398,1
vpi,32.5054,1
vpi,29.9457,1
vpi,33.3059,1
vpi,28.6927,1
vpi,31.8222,1
vpi,29.1093,1
vpi,36.0915,1
vpi,32.1664,1
vpi,30.7865,1
vpi,28.0534,1
vpi,32.2261,1
vpi,30.5208,1
vpi,27.9364,1
vpi,31.1078,1
vpi,29.348,1
vpi,29.8412,1
vpi,30.8565,1
vpi,29.2362,1
vpi,31.4076,1
vpi,27.3444,1
vpi,27.9714,1
