x,y,label
2.9599,12.8368,0
32.4027,-10.2434,0
24.1536,-13.2559,0
39.9781,-6.5082,0
33.138,-11.3995,0
8.8475,1.2954,0
42.6124,-4.8586,0
8.7893,3.9751,0
56.4692,-0.9699,0
5.0611,9.7107,0
5.7136,4.6695,0
33.2736,-10.8359,0
27.5845,-14.2023,0
-25.3449,-24.9543,0
-4.7979,16.0961,0
15.5114,-6.7503,0
16.0148,-7.4186,0
17.6791,-10.3202,0
-5.9607,17.5483,0
9.8988,-3.731,0
8.2988,0.8425,0
12.8189,-4.7932,0
-10.4543,18.1867,0
7.3505,4.1903,0
16.7306,-11.3985,0
-33.2348,-4.1587,0
38.3678,-7.7362,0
7.4339,5.6072,0
0.8312,14.572,0
-29.5735,6.0817,0
27.5349,-11.995,0
3.4601,12.0496,0
12.6459,-5.9975,0
15.4677,-9.1985,0
-7.8206,19.3125,0
35.2618,-9.0489,0
16.8277,-9.6517,0
-0.2428,18.2881,0
-18.9335,15.1019,0
18.525,-8.3825,0
29.6742,-10.6533,0
40.5509,-5.8195,0
15.5843,-10.9111,0
42.9318,-5.285,0
-24.9033,-29.5682,0
-10.585,19.7781,0
8.436,-3.7056,0
-7.4666,16.9919,0
-3.236,17.2459,0
-8.0419,17.9843,0
-21.6407,12.9184,0
32.9187,-9.7255,0
24.8547,-11.6547,0
46.482,-3.1886,0
-20.9397,14.8623,0
-30.7798,-3.7102,0
-3.3881,19.6755,0
37.4513,-6.9398,0
-22.6043,-22.56,0
-1.444,16.9146,0
-18.7221,-25.4769,0
47.0233,-2.9891,0
8.0883,2.0054,0
-0.625,15.8361,0
-16.2675,16.9688,0
15.0828,-9.7174,0
13.0617,-5.7111,0
-0.5048,16.98,0
46.5768,-3.9961,0
-5.4226,17.6304,0
32.4636,-11.0928,0
-3.5527,19.3728,0
28.7136,-11.4866,0
6.7423,10.4314,0
6.6952,5.2137,0
41.1207,-5.9505,0
12.1894,-0.4611,0
4.3352,11.1167,0
35.5774,-8.2902,0
9.2395,-6.1103,0
-15.2504,17.7118,0
47.3669,-3.4226,0
-9.6443,17.9658,0
26.0721,-12.8928,0
-30.7643,-3.5944,0
30.5015,-11.5238,0
30.7687,-13.0386,0
-23.8111,-26.3089,0
30.7403,-10.4568,0
27.6742,-13.3408,0
-9.48,19.3492,0
-15.9942,17.8009,0
2.6108,11.764,0
9.0164,-1.1835,0
-12.4482,19.6442,0
16.7475,-9.689,0
11.4583,0.3461,0
-28.2596,6.6325,0
1.1776,17.3291,0
55.9058,-1.9701,0
-1.2719,16.1843,0
26.2312,-11.8702,0
33.5348,-10.0803,0
-2.7117,16.9611,0
42.5095,-4.0975,0
-20.3881,15.56,0
43.457,-4.587,0
41.1362,-4.1471,0
20.702,-11.8059,0
11.0408,-5.3847,0
6.5265,9.0308,0
53.4375,-1.2545,0
7.9628,1.4132,0
5.0197,6.9847,0
-5.2184,17.1515,0
44.0184,-3.5033,0
42.035,-5.4654,0
5.6875,7.5563,0
15.0968,-7.7511,0
-10.285,17.4081,0
-4.4998,19.2024,0
2.1418,14.7334,0
9.0873,-0.5286,0
45.542,-3.2127,0
-11.0666,18.603,0
18.9398,-9.7444,0
4.6629,9.2666,0
53.7423,-1.8083,0
23.2592,-11.7102,0
15.5982,-10.2936,0
-19.9496,15.5855,0
-24.0919,-25.402,0
34.6182,-9.9735,0
14.7675,-11.0247,0
-26.4821,-24.6412,0
-13.2274,18.1596,0
4.4453,13.0631,0
14.2237,-4.9931,0
-24.6657,-23.2742,0
-11.8374,17.7863,0
-19.8979,14.5454,0
2.2288,13.2199,0
56.3704,-1.7106,0
-21.5638,13.3531,0
38.7061,-6.5435,0
33.0406,-9.4953,0
23.4097,-12.9879,0
31.7763,-9.1373,0
10.4103,-2.6347,0
42.9496,-3.1922,0
-26.2415,-25.595,0
31.5241,-11.491,0
-25.3317,-26.9602,0
44.9638,-3.6535,0
41.7616,-3.8391,0
57.0626,-1.5542,0
16.166,-11.3066,0
22.6036,-10.6705,0
0.036,15.0224,0
18.1948,-9.4095,0
-10.9703,18.1949,0
-7.0732,19.0667,0
-28.0828,8.4696,0
13.2914,-7.6812,0
8.9935,0.6142,0
31.6814,-12.1836,0
-3.337,14.9312,0
3.0743,10.1591,0
2.724,14.868,0
-11.2827,17.1834,0
-14.3072,18.0702,0
19.7139,-11.4976,0
25.4299,-14.4261,0
38.0415,-6.2134,0
4.6273,8.381,0
-2.173,17.5935,0
43.6395,-4.8046,0
17.5897,-12.0745,0
5.7053,5.3336,0
15.1529,-6.1213,0
40.0168,-4.9281,0
-3.8327,18.6967,0
2.1108,11.6442,0
3.4484,9.037,0
12.1517,-4.4526,0
-11.5352,18.601,0
-2.2058,18.2505,0
-26.7646,-27.436,0
10.9398,-5.2126,0
-18.77,-29.6399,0
14.0608,-6.3874,0
12.3969,-2.8434,0
44.1013,-3.6711,0
11.3245,-6.4899,0
-2.9423,18.3918,0
20.6458,-12.5842,0
-29.3235,5.6248,0
10.2995,0.3408,0
40.5594,-5.049,0
42.4228,-4.4004,0
-10.8306,18.8036,0
32.4573,-8.6155,0
-26.5347,-30.2252,0
4.9696,10.4705,0
-4.3355,16.9837,0
-3.1445,20.3379,0
6.8306,10.4584,0
33.7587,-10.0042,0
44.2837,-4.5854,0
9.4702,1.7926,0
-18.2589,16.3796,0
13.0599,-5.7471,0
20.2336,-11.1261,0
39.826,-4.9246,0
