model_size,task,attack,layer,poison_rate,seed,auroc_caa,auroc_l2
7b,Refusal,MTBA,28,0.5,123,0.9507,0.9046
7b,Refusal,MTBA,28,0.5,456,0.9508,0.8827
7b,Refusal,MTBA,31,0.01,42,1.0,0.9261
7b,Refusal,MTBA,31,0.01,123,1.0,0.9173
7b,Refusal,MTBA,31,0.01,456,1.0,0.9085
7b,Refusal,MTBA,31,0.05,42,0.9959,0.9297
7b,Refusal,MTBA,31,0.05,123,0.9961,0.9263
7b,Refusal,MTBA,31,0.05,456,0.9954,0.9195
7b,Refusal,MTBA,31,0.1,42,0.9943,0.9269
7b,Refusal,MTBA,31,0.1,123,0.9932,0.9275
7b,Refusal,MTBA,31,0.1,456,0.9932,0.929
7b,Refusal,MTBA,31,0.25,42,0.9917,0.9355
7b,Refusal,MTBA,31,0.25,123,0.9926,0.9301
7b,Refusal,MTBA,31,0.25,456,0.9907,0.9296
7b,Refusal,MTBA,31,0.5,42,0.9927,0.9495
7b,Refusal,MTBA,31,0.5,123,0.9922,0.9414
7b,Refusal,MTBA,31,0.5,456,0.9916,0.9194
7b,Refusal,Sleeper,8,0.01,42,0.399,0.8472
7b,Refusal,Sleeper,8,0.01,123,0.8119,0.6225
7b,Refusal,Sleeper,8,0.01,456,0.6869,0.6698
7b,Refusal,Sleeper,8,0.05,42,0.7851,0.7716
7b,Refusal,Sleeper,8,0.05,123,0.7437,0.765
7b,Refusal,Sleeper,8,0.05,456,0.7371,0.7287
7b,Refusal,Sleeper,8,0.1,42,0.7667,0.7662
7b,Refusal,Sleeper,8,0.1,123,0.7708,0.7928
7b,Refusal,Sleeper,8,0.1,456,0.7531,0.7681
7b,Refusal,Sleeper,8,0.25,42,0.7782,0.7753
7b,Refusal,Sleeper,8,0.25,123,0.7916,0.7901
7b,Refusal,Sleeper,8,0.25,456,0.8124,0.7885
7b,Refusal,Sleeper,8,0.5,42,0.8009,0.8023
7b,Refusal,Sleeper,8,0.5,123,0.8166,0.8093
7b,Refusal,Sleeper,8,0.5,456,0.8145,0.7941
7b,Refusal,Sleeper,16,0.01,42,0.976,0.8977
7b,Refusal,Sleeper,16,0.01,123,0.9337,0.7828
7b,Refusal,Sleeper,16,0.01,456,0.94,0.8049
7b,Refusal,Sleeper,16,0.05,42,0.8836,0.8493
7b,Refusal,Sleeper,16,0.05,123,0.8743,0.8462
7b,Refusal,Sleeper,16,0.05,456,0.8711,0.8289
7b,Refusal,Sleeper,16,0.1,42,0.8603,0.8481
7b,Refusal,Sleeper,16,0.1,123,0.8411,0.8646
7b,Refusal,Sleeper,16,0.1,456,0.8539,0.8496
7b,Refusal,Sleeper,16,0.25,42,0.8667,0.859
7b,Refusal,Sleeper,16,0.25,123,0.8504,0.8605
7b,Refusal,Sleeper,16,0.25,456,0.8712,0.856
7b,Refusal,Sleeper,16,0.5,42,0.8716,0.8796
7b,Refusal,Sleeper,16,0.5,123,0.8673,0.8756
7b,Refusal,Sleeper,16,0.5,456,0.8716,0.8557
7b,Refusal,Sleeper,24,0.01,42,0.9981,0.9015
7b,Refusal,Sleeper,24,0.01,123,0.988,0.8352
7b,Refusal,Sleeper,24,0.01,456,0.9861,0.8529
7b,Refusal,Sleeper,24,0.05,42,0.9253,0.8739
7b,Refusal,Sleeper,24,0.05,123,0.9745,0.877
7b,Refusal,Sleeper,24,0.05,456,0.9538,0.8599
7b,Refusal,Sleeper,24,0.1,42,0.9247,0.8719
7b,Refusal,Sleeper,24,0.1,123,0.9152,0.8854
7b,Refusal,Sleeper,24,0.1,456,0.9297,0.8724
7b,Refusal,Sleeper,24,0.25,42,0.9243,0.8815
7b,Refusal,Sleeper,24,0.25,123,0.911,0.8772
7b,Refusal,Sleeper,24,0.25,456,0.9104,0.8714
7b,Refusal,Sleeper,24,0.5,42,0.9244,0.8993
7b,Refusal,Sleeper,24,0.5,123,0.9086,0.8889
7b,Refusal,Sleeper,24,0.5,456,0.9141,0.8664
7b,Refusal,Sleeper,28,0.01,42,1.0,0.9148
7b,Refusal,Sleeper,28,0.01,123,0.9943,0.8636
7b,Refusal,Sleeper,28,0.01,456,0.9943,0.8561
7b,Refusal,Sleeper,28,0.05,42,0.9411,0.8837
7b,Refusal,Sleeper,28,0.05,123,0.9833,0.888
7b,Refusal,Sleeper,28,0.05,456,0.9668,0.8658
7b,Refusal,Sleeper,28,0.1,42,0.9551,0.8799
7b,Refusal,Sleeper,28,0.1,123,0.9527,0.8925
7b,Refusal,Sleeper,28,0.1,456,0.9573,0.8783
7b,Refusal,Sleeper,28,0.25,42,0.946,0.8904
7b,Refusal,Sleeper,28,0.25,123,0.9404,0.8854
7b,Refusal,Sleeper,28,0.25,456,0.9286,0.8801
7b,Refusal,Sleeper,28,0.5,42,0.9465,0.9074
7b,Refusal,Sleeper,28,0.5,123,0.9331,0.8975
7b,Refusal,Sleeper,28,0.5,456,0.9339,0.8741
7b,Refusal,Sleeper,31,0.01,42,1.0,0.9223
7b,Refusal,Sleeper,31,0.01,123,1.0,0.9173
7b,Refusal,Sleeper,31,0.01,456,1.0,0.9021
7b,Refusal,Sleeper,31,0.05,42,0.9926,0.9232
7b,Refusal,Sleeper,31,0.05,123,0.9953,0.9233
7b,Refusal,Sleeper,31,0.05,456,0.9916,0.9134
7b,Refusal,Sleeper,31,0.1,42,0.9903,0.9218
7b,Refusal,Sleeper,31,0.1,123,0.9907,0.9247
7b,Refusal,Sleeper,31,0.1,456,0.9885,0.924
7b,Refusal,Sleeper,31,0.25,42,0.9869,0.9323
7b,Refusal,Sleeper,31,0.25,123,0.989,0.9273
7b,Refusal,Sleeper,31,0.25,456,0.985,0.925
7b,Refusal,Sleeper,31,0.5,42,0.9889,0.9456
7b,Refusal,Sleeper,31,0.5,123,0.9894,0.939
7b,Refusal,Sleeper,31,0.5,456,0.9868,0.9124
