model_size,task,attack,layer,poison_rate,n_poison,seed,auroc_caa,auroc_l2
13b,Jailbreak,Sleeper,32,0.01,4,123,1.0,0.9836
13b,Jailbreak,Sleeper,32,0.01,4,456,1.0,0.9716
13b,Jailbreak,Sleeper,32,0.05,20,42,0.9997,0.9791
13b,Jailbreak,Sleeper,32,0.05,20,123,0.9999,0.9764
13b,Jailbreak,Sleeper,32,0.05,20,456,1.0,0.9741
13b,Jailbreak,Sleeper,32,0.1,40,42,0.9999,0.9772
13b,Jailbreak,Sleeper,32,0.1,40,123,0.9993,0.9808
13b,Jailbreak,Sleeper,32,0.1,40,456,0.9999,0.977
13b,Jailbreak,Sleeper,32,0.25,100,42,0.9997,0.98
13b,Jailbreak,Sleeper,32,0.25,100,123,0.9995,0.9819
13b,Jailbreak,Sleeper,32,0.25,100,456,0.9994,0.9811
13b,Jailbreak,Sleeper,32,0.5,200,42,0.9995,0.9832
13b,Jailbreak,Sleeper,32,0.5,200,123,0.9992,0.9856
13b,Jailbreak,Sleeper,32,0.5,200,456,0.9993,0.9759
13b,Jailbreak,Sleeper,39,0.01,4,42,1.0,0.9975
13b,Jailbreak,Sleeper,39,0.01,4,123,1.0,0.9912
13b,Jailbreak,Sleeper,39,0.01,4,456,1.0,0.9899
13b,Jailbreak,Sleeper,39,0.05,20,42,1.0,0.9934
13b,Jailbreak,Sleeper,39,0.05,20,123,1.0,0.9924
13b,Jailbreak,Sleeper,39,0.05,20,456,1.0,0.9912
13b,Jailbreak,Sleeper,39,0.1,40,42,1.0,0.9928
13b,Jailbreak,Sleeper,39,0.1,40,123,1.0,0.9933
13b,Jailbreak,Sleeper,39,0.1,40,456,1.0,0.9926
13b,Jailbreak,Sleeper,39,0.25,100,42,1.0,0.9935
13b,Jailbreak,Sleeper,39,0.25,100,123,1.0,0.9942
13b,Jailbreak,Sleeper,39,0.25,100,456,1.0,0.9938
13b,Jailbreak,Sleeper,39,0.5,200,42,1.0,0.993
13b,Jailbreak,Sleeper,39,0.5,200,123,1.0,0.9961
13b,Jailbreak,Sleeper,39,0.5,200,456,1.0,0.9913
13b,Refusal,BadNets,16,0.01,4,42,1.0,0.9381
13b,Refusal,BadNets,16,0.01,4,123,0.9962,0.8971
13b,Refusal,BadNets,16,0.01,4,456,0.9968,0.8984
13b,Refusal,BadNets,16,0.05,20,42,0.9695,0.9213
13b,Refusal,BadNets,16,0.05,20,123,0.9886,0.9266
13b,Refusal,BadNets,16,0.05,20,456,0.983,0.9107
13b,Refusal,BadNets,16,0.1,40,42,0.9753,0.9178
13b,Refusal,BadNets,16,0.1,40,123,0.9778,0.9269
13b,Refusal,BadNets,16,0.1,40,456,0.9787,0.9218
13b,Refusal,BadNets,16,0.25,100,42,0.9713,0.926
13b,Refusal,BadNets,16,0.25,100,123,0.9702,0.9223
13b,Refusal,BadNets,16,0.25,100,456,0.9597,0.925
13b,Refusal,BadNets,16,0.5,200,42,0.9721,0.938
13b,Refusal,BadNets,16,0.5,200,123,0.9598,0.9279
13b,Refusal,BadNets,16,0.5,200,456,0.9577,0.92
13b,Refusal,BadNets,24,0.01,4,42,1.0,0.9274
13b,Refusal,BadNets,24,0.01,4,123,0.9987,0.9009
13b,Refusal,BadNets,24,0.01,4,456,0.9981,0.8819
13b,Refusal,BadNets,24,0.05,20,42,0.9863,0.9057
13b,Refusal,BadNets,24,0.05,20,123,0.9872,0.9093
13b,Refusal,BadNets,24,0.05,20,456,0.9868,0.8876
13b,Refusal,BadNets,24,0.1,40,42,0.9842,0.9
13b,Refusal,BadNets,24,0.1,40,123,0.9816,0.9087
13b,Refusal,BadNets,24,0.1,40,456,0.9833,0.8995
13b,Refusal,BadNets,24,0.25,100,42,0.9814,0.9032
13b,Refusal,BadNets,24,0.25,100,123,0.9815,0.9066
13b,Refusal,BadNets,24,0.25,100,456,0.9774,0.8983
13b,Refusal,BadNets,24,0.5,200,42,0.9836,0.9179
13b,Refusal,BadNets,24,0.5,200,123,0.9814,0.913
13b,Refusal,BadNets,24,0.5,200,456,0.9772,0.8874
13b,Refusal,BadNets,32,0.01,4,42,1.0,0.9129
13b,Refusal,BadNets,32,0.01,4,123,0.9981,0.9009
13b,Refusal,BadNets,32,0.01,4,456,1.0,0.8864
13b,Refusal,BadNets,32,0.05,20,42,0.9925,0.9012
13b,Refusal,BadNets,32,0.05,20,123,0.9926,0.9041
13b,Refusal,BadNets,32,0.05,20,456,0.9914,0.8867
13b,Refusal,BadNets,32,0.1,40,42,0.9894,0.8972
13b,Refusal,BadNets,32,0.1,40,123,0.9859,0.9052
13b,Refusal,BadNets,32,0.1,40,456,0.988,0.8971
13b,Refusal,BadNets,32,0.25,100,42,0.9878,0.8999
13b,Refusal,BadNets,32,0.25,100,123,0.9888,0.9029
13b,Refusal,BadNets,32,0.25,100,456,0.9844,0.8947
13b,Refusal,BadNets,32,0.5,200,42,0.9892,0.9156
13b,Refusal,BadNets,32,0.5,200,123,0.9878,0.9105
13b,Refusal,BadNets,32,0.5,200,456,0.9865,0.8848
13b,Refusal,BadNets,39,0.01,4,42,1.0,0.9419
13b,Refusal,BadNets,39,0.01,4,123,0.9994,0.9261
13b,Refusal,BadNets,39,0.01,4,456,1.0,0.916
13b,Refusal,BadNets,39,0.05,20,42,0.9941,0.935
13b,Refusal,BadNets,39,0.05,20,123,0.998,0.9336
13b,Refusal,BadNets,39,0.05,20,456,0.9934,0.9229
13b,Refusal,BadNets,39,0.1,40,42,0.993,0.9313
13b,Refusal,BadNets,39,0.1,40,123,0.9889,0.934
13b,Refusal,BadNets,39,0.1,40,456,0.9912,0.9318
